date,temperature_max,temperature_min,precipitation,rain_probability,wind_speed_max,wind_gust_max,weather_code,latitude,longitude,timezone,elevation,city,temperature_category,precipitation_category,wind_category,year,month,day,day_of_week,rain_risk,wind_risk,temperature_risk,rain_probability_risk,weather_risk_score,risk_category
2026-09-15,33.6,22.8,0.0,3,23.4,43.2,3,32.2833,-9.2333,Africa/Casablanca,53.0,Safi,warm,light,moderate,2026,9,15,Tuesday,0,30,60,0,19.5,low
2026-09-16,27.5,20.9,0.0,0,27.3,48.6,2,32.2833,-9.2333,Africa/Casablanca,53.0,Safi,warm,light,moderate,2026,9,16,Wednesday,0,30,25,0,14.25,low
2026-09-17,25.2,19.5,0.0,0,21.3,37.4,3,32.2833,-9.2333,Africa/Casablanca,53.0,Safi,warm,light,moderate,2026,9,17,Thursday,0,30,25,0,14.25,low
2026-09-18,25.9,19.1,0.0,0,22.1,40.0,3,32.2833,-9.2333,Africa/Casablanca,53.0,Safi,warm,light,moderate,2026,9,18,Friday,0,30,25,0,14.25,low
2026-09-19,27.6,18.9,0.0,0,22.0,39.6,2,32.2833,-9.2333,Africa/Casablanca,53.0,Safi,warm,light,moderate,2026,9,19,Saturday,0,30,25,0,14.25,low
2026-09-20,30.9,21.1,0.0,0,17.0,32.0,2,32.2833,-9.2333,Africa/Casablanca,53.0,Safi,warm,light,low,2026,9,20,Sunday,0,0,60,0,9.0,low
2026-09-21,26.1,19.4,0.0,0,14.6,28.4,45,32.2833,-9.2333,Africa/Casablanca,53.0,Safi,warm,light,low,2026,9,21,Monday,0,0,25,0,3.75,low
2026-09-15,33.6,22.8,0.0,3,23.4,43.2,3,33.5992,-7.62,Africa/Casablanca,53.0,Casablanca,warm,light,moderate,2026,9,15,Tuesday,0,30,60,0,19.5,low
2026-09-16,27.5,20.9,0.0,0,27.3,48.6,2,33.5992,-7.62,Africa/Casablanca,53.0,Casablanca,warm,light,moderate,2026,9,16,Wednesday,0,30,25,0,14.25,low
2026-09-17,25.2,19.5,0.0,0,21.3,37.4,3,33.5992,-7.62,Africa/Casablanca,53.0,Casablanca,warm,light,moderate,2026,9,17,Thursday,0,30,25,0,14.25,low
2026-09-18,25.9,19.1,0.0,0,22.1,40.0,3,33.5992,-7.62,Africa/Casablanca,53.0,Casablanca,warm,light,moderate,2026,9,18,Friday,0,30,25,0,14.25,low
2026-09-19,27.6,18.9,0.0,0,22.0,39.6,2,33.5992,-7.62,Africa/Casablanca,53.0,Casablanca,warm,light,moderate,2026,9,19,Saturday,0,30,25,0,14.25,low
2026-09-20,30.9,21.1,0.0,0,17.0,32.0,2,33.5992,-7.62,Africa/Casablanca,53.0,Casablanca,warm,light,low,2026,9,20,Sunday,0,0,60,0,9.0,low
2026-09-21,26.1,19.4,0.0,0,14.6,28.4,45,33.5992,-7.62,Africa/Casablanca,53.0,Casablanca,warm,light,low,2026,9,21,Monday,0,0,25,0,3.75,low
2026-09-15,33.6,22.8,0.0,3,23.4,43.2,3,34.0211,-6.8414,Africa/Casablanca,53.0,Rabat,warm,light,moderate,2026,9,15,Tuesday,0,30,60,0,19.5,low
2026-09-16,27.5,20.9,0.0,0,27.3,48.6,2,34.0211,-6.8414,Africa/Casablanca,53.0,Rabat,warm,light,moderate,2026,9,16,Wednesday,0,30,25,0,14.25,low
2026-09-17,25.2,19.5,0.0,0,21.3,37.4,3,34.0211,-6.8414,Africa/Casablanca,53.0,Rabat,warm,light,moderate,2026,9,17,Thursday,0,30,25,0,14.25,low
2026-09-18,25.9,19.1,0.0,0,22.1,40.0,3,34.0211,-6.8414,Africa/Casablanca,53.0,Rabat,warm,light,moderate,2026,9,18,Friday,0,30,25,0,14.25,low
2026-09-19,27.6,18.9,0.0,0,22.0,39.6,2,34.0211,-6.8414,Africa/Casablanca,53.0,Rabat,warm,light,moderate,2026,9,19,Saturday,0,30,25,0,14.25,low
2026-09-20,30.9,21.1,0.0,0,17.0,32.0,2,34.0211,-6.8414,Africa/Casablanca,53.0,Rabat,warm,light,low,2026,9,20,Sunday,0,0,60,0,9.0,low
2026-09-21,26.1,19.4,0.0,0,14.6,28.4,45,34.0211,-6.8414,Africa/Casablanca,53.0,Rabat,warm,light,low,2026,9,21,Monday,0,0,25,0,3.75,low
