date,temperature_max,temperature_min,precipitation,rain_probability,wind_speed_max,wind_gust_max,weather_code,latitude,longitude,timezone,elevation,city
2026-09-15,33.6,22.8,0.0,3,23.4,43.2,3,32.2833,-9.2333,Africa/Casablanca,53.0,Safi
2026-09-16,27.5,20.9,0.0,0,27.3,48.6,2,32.2833,-9.2333,Africa/Casablanca,53.0,Safi
2026-09-17,25.2,19.5,0.0,0,21.3,37.4,3,32.2833,-9.2333,Africa/Casablanca,53.0,Safi
2026-09-18,25.9,19.1,0.0,0,22.1,40.0,3,32.2833,-9.2333,Africa/Casablanca,53.0,Safi
2026-09-19,27.6,18.9,0.0,0,22.0,39.6,2,32.2833,-9.2333,Africa/Casablanca,53.0,Safi
2026-09-20,30.9,21.1,0.0,0,17.0,32.0,2,32.2833,-9.2333,Africa/Casablanca,53.0,Safi
2026-09-21,26.1,19.4,0.0,0,14.6,28.4,45,32.2833,-9.2333,Africa/Casablanca,53.0,Safi
2026-09-15,33.6,22.8,0.0,3,23.4,43.2,3,33.5992,-7.62,Africa/Casablanca,53.0,Casablanca
2026-09-16,27.5,20.9,0.0,0,27.3,48.6,2,33.5992,-7.62,Africa/Casablanca,53.0,Casablanca
2026-09-17,25.2,19.5,0.0,0,21.3,37.4,3,33.5992,-7.62,Africa/Casablanca,53.0,Casablanca
2026-09-18,25.9,19.1,0.0,0,22.1,40.0,3,33.5992,-7.62,Africa/Casablanca,53.0,Casablanca
2026-09-19,27.6,18.9,0.0,0,22.0,39.6,2,33.5992,-7.62,Africa/Casablanca,53.0,Casablanca
2026-09-20,30.9,21.1,0.0,0,17.0,32.0,2,33.5992,-7.62,Africa/Casablanca,53.0,Casablanca
2026-09-21,26.1,19.4,0.0,0,14.6,28.4,45,33.5992,-7.62,Africa/Casablanca,53.0,Casablanca
2026-09-15,33.6,22.8,0.0,3,23.4,43.2,3,34.0211,-6.8414,Africa/Casablanca,53.0,Rabat
2026-09-16,27.5,20.9,0.0,0,27.3,48.6,2,34.0211,-6.8414,Africa/Casablanca,53.0,Rabat
2026-09-17,25.2,19.5,0.0,0,21.3,37.4,3,34.0211,-6.8414,Africa/Casablanca,53.0,Rabat
2026-09-18,25.9,19.1,0.0,0,22.1,40.0,3,34.0211,-6.8414,Africa/Casablanca,53.0,Rabat
2026-09-19,27.6,18.9,0.0,0,22.0,39.6,2,34.0211,-6.8414,Africa/Casablanca,53.0,Rabat
2026-09-20,30.9,21.1,0.0,0,17.0,32.0,2,34.0211,-6.8414,Africa/Casablanca,53.0,Rabat
2026-09-21,26.1,19.4,0.0,0,14.6,28.4,45,34.0211,-6.8414,Africa/Casablanca,53.0,Rabat
